,act,at,ceq,che,csho,dlc,dltis,dltt,emp,ib,invt,ivao,ivst,lct,lt,pstk,rect,sale,sstk,exchg,prcc-f,ret-t,ret-t1,vwretd,oplease,lease-dum,r-vwretd,r-1-vwretd,WC,NCO,FIN,ATA,rsst-acc,ch-rec,ch-inv,cs,ch-cs,earn-ATA,ch-earn,ch-emp,issue,bm,new-comp,fraud
805,25.226,272.26,97.322,4.1530000000000005,7.6770000000000005,1.2329999999999999,7.5,79.469,0.47100000000000003,16.123,7.61,35.218,0.0,24.548000000000002,168.958,5.98,8.495,115.961,0.0,11.0,20.0,-1.5859256222894942,0.6583975863719372,0.1564349149181002,0.0,0.0,-2.1333610937335528,0.8035149844358356,-2.242,146.875,-51.464,268.535,0.012486399999999998,0.0042527,0.0013481,114.819,-0.0013655,0.06004059999999999,0.0075287999999999996,-0.0281334,1.0,0.6338543000000001,175.0,0.0
806,24.232,283.073,103.12,3.35,7.6770000000000005,5.733,0.0,78.236,0.45899999999999996,17.506,7.555,41.152,0.0,28.831,174.168,5.785,7.388999999999999,114.15,0.0,11.0,20.5,0.7251093992368779,0.26926351203208543,0.03949320897498322,0.0,0.0,-0.5812130184436664,0.8743605815858926,-2.215999,150.588,-48.602,277.6665,0.0237731,-0.0039832,-0.0001981,115.256,0.0038060000000000004,0.0630469,0.0030063000000000004,-0.0651934,0.0,0.6552356,175.0,0.0
807,23.891,297.76,105.78,3.497,7.6770000000000005,3.233,15.0,92.00299999999999,0.457,14.815,8.311,41.801,0.0,27.901,186.39,5.59,8.003,122.9,0.0,11.0,25.875,-1.030100228534109,-0.22451229611213538,0.06889638797473499,0.0,0.0,0.553987212795025,-0.010275882889012072,-4.273998000000001,165.582,-59.025,290.4165,0.0086531,0.0021142,0.0026031999999999995,122.286,0.0609946,0.0510129,-0.0120339,-0.0562415,1.0,0.5325148000000001,175.0,0.0
808,31.235,313.452,107.111,3.695,7.6770000000000005,0.15,26.072,106.42200000000001,0.648,13.720999999999998,13.079,37.928000000000004,0.0,25.491,203.671,2.67,9.052999999999999,119.196,0.0,11.0,28.0,0.2566133873861884,0.28526614716619675,0.30472084980704073,0.0,0.0,-1.3481345155114288,-0.7112804254831931,2.199002,172.53099999999998,-71.314,305.606,0.0037074,0.0034358000000000006,0.0156018,118.146,-0.0338551,0.0448977,-0.0061153,0.365243,1.0,0.4982927,175.0,0.0
809,33.953,343.574,109.667,3.0989999999999998,7.6770000000000005,0.6,76.453,126.6,0.6409999999999999,15.190999999999999,13.190999999999999,44.852,0.0,27.862,231.267,2.64,11.198,153.257,0.0,11.0,28.75,-0.2824862120002385,-0.8119437670425693,0.15004228028467792,0.0,0.0,0.792001740654628,-0.7289936516793982,3.592,187.96400000000003,-84.988,328.51300000000003,0.009594799999999999,0.0065293999999999994,0.0003409,151.112,0.2790277,0.0462417,0.001344,-0.1069002,1.0,0.49687429999999994,175.0,0.0
810,36.171,359.066,114.705,2.553,7.6770000000000005,10.37,1.1,127.052,0.615,15.44,14.638,46.238,0.0,39.204,241.72099999999998,2.64,12.255,157.266,0.0,11.0,26.75,-0.0118291,1.239132,-0.007573300000000001,0.0,0.0,-0.0042558,1.2467059999999999,4.784003,201.192,-93.82401,351.32,0.0158944,0.0030087,0.004118800000000001,156.209,0.0337299,0.0439485,-0.0022932,-0.0856523,1.0,0.5585564000000001,175.0,0.0
811,90.62,558.721,152.678,4.552,8.92,4.07,117.81299999999999,245.34,1.473,18.249000000000002,21.646,51.907,0.0,58.761,399.783,6.26,51.548,204.97,34.672,11.0,28.0,0.1160873,-0.0118291,0.3567165,0.0,0.0,-0.2406292,-0.36854570000000003,31.377,320.512,-203.763,458.8935,0.0783929,0.0856255,0.0152715,165.67700000000002,0.0606111,0.0397674,-0.004181100000000001,0.8390822,1.0,0.6112988,175.0,0.0
812,197.688,1113.7160000000001,163.805,36.79,8.92,1.244,241.65400000000002,456.912,2.5810000000000004,23.331999999999997,43.826,159.333,0.0,152.767,756.947,6.25,89.259,344.009,191.804,11.0,34.25,0.2972331,0.1160873,0.2116129,0.0,0.0,0.0856202,-0.0955256,9.375003999999999,609.4269,-305.073,836.2185,0.19803779999999999,0.0450971,0.0265242,306.298,0.848766,0.027901799999999997,-0.0118656,-0.24112470000000003,1.0,0.536169,175.0,0.0
813,156.408,1106.123,166.59599999999998,14.309000000000001,17.843,7.814,29.499000000000002,457.781,2.795,23.623,36.015,121.587,0.0,144.564,736.055,3.75,90.749,918.07,0.0,11.0,23.0,0.4079702,0.2972331,0.3033297,0.0,0.0,0.1046405,-0.0060966,5.34901,694.418,-347.75800000000004,1109.9189999999999,0.034489099999999995,0.0013424,-0.007037399999999999,916.58,1.992445,0.0212835,-0.006618300000000001,0.0897312,1.0,0.4059465,175.0,0.0
814,267.168,1736.2160000000001,282.101,30.865,23.017,31.614,231.7,676.375,9.180311416581013,27.276999999999997,72.805,152.47,0.0,209.429,1061.663,3.75,131.541,1187.187,107.81299999999999,11.0,26.4375,0.1969131,0.4079702,0.22283960000000003,0.0,0.0,-0.025926499999999998,0.1851306,58.488,1140.719,-559.269,1421.1689999999999,0.2026,0.028703100000000002,0.0258871,1146.395,0.250731,0.0191933,-0.0020902,121.80766286984098,1.0,0.4635916,175.0,0.0
815,383.598,1956.761,300.156,29.677,23.109,49.87,206.308,870.607,19.716605812523465,38.062,104.09899999999999,96.056,0.0,269.047,1291.306,3.75,205.378,3004.34,0.0,11.0,22.0,-0.1305849,0.1969131,0.25270329999999996,0.0,0.0,-0.3832882,-0.05579019999999999,134.744,1325.455,-828.171,1846.489,-0.0042839,0.039987800000000004,0.0169478,2930.5029999999997,1.5562770000000001,0.0206132,0.0014198000000000001,-129.4230877169737,1.0,0.5903957,175.0,0.0
816,1000.9910000000001,2898.07,319.20099999999996,91.601,23.410999999999998,57.263000000000005,226.502,1171.065,35.46453469500292,43.998000000000005,143.87,93.463,0.0,890.977,2177.115,3.75,710.44,7132.09,0.182,11.0,23.125,0.1052383,-0.1305849,-0.11085410000000001,0.0,0.0,0.21609250000000002,-0.0197307,75.67604,1688.543,-1138.615,2427.416,-0.0026464,0.20806570000000002,0.0163841,6627.028,1.261396,0.0181255,-0.0024877,-287.1255875661449,1.0,0.5896069,175.0,0.0
817,628.5459999999999,2617.361,396.416,53.528,27.241,404.29699999999997,99.71700000000001,1023.373,10.251,37.705,106.228,94.65,0.0,929.1,2033.8829999999998,3.75,382.329,4237.755,74.878,11.0,21.05,-0.038947300000000004,0.1052383,-0.11268519999999999,0.0,0.0,0.0737379,0.21792350000000002,50.21504,1812.755,-1336.77,2757.716,-0.0360458,-0.11897930000000001,-0.0136497,4565.866,-0.3110236,0.013672499999999999,-0.004452899999999999,430.5068521383637,1.0,0.6913151,175.0,0.0
818,556.3580000000001,2672.925,-456.07599999999996,73.65,37.223,57.878,855.8989999999999,2074.266,9.068,-777.45,86.65,85.236,28.081,537.495,3118.6609999999996,0.0,281.447,1991.509,81.152,11.0,5.08,-0.7344940999999999,-0.038947300000000004,-0.208407,0.0,0.0,-0.526087,0.16945970000000002,3.090973,1524.431,-2018.8270000000002,2645.143,-0.3846692,-0.038138599999999995,-0.0074015,2092.391,-0.5417318,-0.293916,-0.3075886,-0.1366324,1.0,-2.411916,175.0,0.0
819,430.478,2444.511,-585.951,42.226000000000006,37.68,919.3919999999999,397.2,0.0,1.2690000000000001,-86.527,26.521,11.027000000000001,27.043000000000003,1136.786,3030.462,0.0,106.443,1027.437,0.0,11.0,0.08,-0.8307087,-0.7344940999999999,0.1922377,0.0,0.0,-1.022946,-0.9267318000000001,170.858,109.3301,-881.322,2558.718,-0.0429235,-0.0683952,-0.023499700000000002,1202.441,-0.4253268,-0.0338165,0.2600995,-0.7746026,1.0,-194.38400000000001,175.0,0.0
