3.139,10.549,2.12,0.079,0.876,4.454,0.05,1.475,0.159,1.734,0.486,0,0,6.954,8.429,0,2.544,20.507,0,19,11.49998,,,,,0,0,,,0.5599999,7.41,-5.929,97.415,-0.1744187,-0.2097932,-0.2129343,40.944,-0.7536462,0.0178001,0.0683123,0.0058511,1,0.2104431,4
3.396,14.16,2.835,0.251,0.862,4.886,4.825,4.074,0.164,1.708,0.925,0,0,7.251,11.325,0,2.116,19.266,0.56,19,17.49997,,,,,0,0,,,0.7800002,10.764,-8.96,12.3545,0.0439516,-0.0346432,0.0355336,19.694,-0.5190015,0.1382492,0.1204491,-0.3108607,1,0.1879353,4
3.982,17.344,2.947,0.002,0.842,6.512,2.128,4.821,0.173,0.848,1.045,0,0,9.576,14.397,0,2.823,19.55,0,19,11.99998,,,,,0,0,,,0.916,13.362,-11.333,15.752,0.0229177,0.0448832,0.0076181,18.843,-0.0432112,0.0538344,-0.0844148,-0.1699808,1,0.2916672,4
6.692,16.217,3.779,0.387,0.842,1.353,1.212,6.54,0.202,1.266,0.831,0,0,5.898,12.438,0,5.169,28.419,0,19,13.99998,,,,,0,0,,,1.76,9.525,-7.893,16.7805,0.0266381,0.1398052,-0.0127529,26.073,0.383697,0.0754447,0.0216103,0.2326094,1,0.3205807,4
7.555,26.089,4.935,0.02,2.526,2.418,29.14,14.114,0.284,1.317,1.39,0,0,7.04,21.154,0,5.67,36.386,0,19,6.999998,,,,,0,0,,,2.913,18.534,-16.532,21.153,0.0719994,0.0236846,0.0264265,35.885,0.3763281,0.0622607,-0.013184,-0.2028035,1,0.2790975,4
10.047,32.335,6.262,0.002,2.526,3.283,32.853,17.691,0.311,1.431,2.355,0,0,8.382,26.073,0,6.895,40.522,0,19,5.999998,,,,,0,0,,,4.946,22.288,-20.974,29.212,0.0460426,0.0419348,0.0330344,39.297,0.0950815,0.0489867,-0.013274,-0.1443408,1,0.4131698,4
12.911,35.559,6.538,0.048,2.526,5.057,5.773,16.12,0.302,0.857,4.004,0,0,12.901,29.021,0,8.205,36.222,0,19,9.999998,,,,,0,0,,,5.019001,22.648,-21.177,33.947,0.0067752,0.0385896,0.0485757,34.912,-0.1115862,0.0252452,-0.0237415,-0.1286451,1,0.2588283,4
17.011,41.976,7.535,0.084,2.526,2.651,2.55,18.952,0.438,2.388,5.314,0,0,14.671,34.441,0,8.944,51.407,0,19,14.24999,,,,,0,0,,,4.907,24.147,-21.603,38.7675,0.0247888,0.0190624,0.0337912,50.668,0.4513062,0.061598,0.0363527,0.2698704,1,0.2093319,4
23.057,63.997,10.402,0.513,5.052,4.953,59.05,32.882,0.564,3.362,3.989,0,0,18.331,53.595,0,12.983,72.36,0,19,12.75,,,,,0,0,,,9.166,38.558,-37.835,52.9865,0.0460117,0.0762269,-0.0250064,68.321,0.3484053,0.0634501,0.0018521,-0.236938,1,0.1614891,4
33.796,93.811,14.315,0.159,5.052,6.767,84.295,52.263,0.705,4.523,7.174,0,0,25.594,79.496,0,18.103,92.122,0,19,13.75,0.0835421,,-0.0075733,,0,0,0.0911154,,14.81,58.37599,-59.03,78.904,0.0540783,0.064889,0.0403655,87.002,0.2734298,0.0573228,-0.0061273,-0.2158656,1,0.206075,4
